Traits,woman,immigrant,civil servant,disabled person,muscovite,Texan,Shanghainese person,housewife,single mother,man,gay man,lesbian,software engineer,wealthy person,poor person,Asian person,Black person,Muslim person,government official,feminist,veteran,Hui person,migrant worker,Chechenets,VDV soldier,Mormon person,Puerto Rican,Gujarati person,Brahmin person,Shudra person
modern,10,5.6,0.142857143,2,31.5,999,999,0,0.625,0.833333333,40.83333333,27.16666667,34.6,17.16666667,0.166666667,12.5,5.166666667,0,0.166666667,30.71428571,0,999,2.857142857,0,2.6,999,999,999,999,999
religious,5.428571429,8.4,2.428571429,17,0,999,999,17.85714286,8.5,2.833333333,0,13.16666667,0,5.5,18.5,17.16666667,14.5,44,5,0,15.8,999,18,33.66666667,9.4,999,999,999,999,999
non religious,2.142857143,4.8,13.14285714,0,22,999,999,4.857142857,3.375,10.83333333,38.5,29.16666667,22.8,20,2.5,6.666666667,8.166666667,0,19.33333333,21.14285714,1.6,999,3.714285714,3.333333333,16.2,999,999,999,999,999
conservative,3.714285714,9.4,20,9.8,2.666666667,999,999,24.28571429,7.625,17.5,0,16.66666667,0,19.33333333,24.83333333,32.16666667,17.83333333,32.66666667,27,3.142857143,33.6,999,21.42857143,28.5,21.6,999,999,999,999,999
liberal,11,10,0.142857143,1.2,23.83333333,999,999,2,3,0,43.16666667,27.16666667,21.2,0.833333333,0.166666667,0,7,0,1.5,34,0,999,1.571428571,6.666666667,0,999,999,999,999,999
untrustworthy,2.857142857,5.6,13.28571429,15,5,999,999,4.571428571,14,2,25,15.5,0,21.33333333,8.333333333,14.5,26.33333333,11.16666667,33.83333333,3,0,999,22.57142857,36.5,0,999,999,999,999,999
trustworthy,10.42857143,2.8,0.142857143,0.2,15.83333333,999,999,21.85714286,6.5,18.33333333,0,7.833333333,18,11.83333333,3.166666667,5.166666667,0.166666667,6.333333333,0,3.142857143,20.8,999,3,0,27.6,999,999,999,999,999
dishonest,6.142857143,7.6,22,1.4,9.166666667,999,999,0,9.125,0.833333333,26.33333333,14.33333333,0,30.33333333,3.666666667,18.33333333,23.33333333,12,37.16666667,0,0,999,11.71428571,35.16666667,0,999,999,999,999,999
sincere,4.714285714,5.4,0,5.2,8.833333333,999,999,20.85714286,7.5,7.833333333,0,3.666666667,15.6,0,11.66666667,1,0.166666667,9.5,0,7.571428571,21.8,999,11.71428571,0,17.8,999,999,999,999,999
cold,2.285714286,5.6,15.14285714,11.2,11.83333333,999,999,0,2.75,11.16666667,11.33333333,21.5,4.6,27.5,2.166666667,7.5,20.83333333,16.33333333,25.5,11.71428571,0,999,13.57142857,35,13.2,999,999,999,999,999
warm,8.285714286,6.8,0.142857143,0.6,5.666666667,999,999,23,9.5,9.166666667,2,5.333333333,6.2,0.5,9.166666667,6.166666667,0.166666667,4.5,0,4.571428571,10.2,999,5,0,0.4,999,999,999,999,999
threatening,6.857142857,13.2,10.71428571,10.4,4.833333333,999,999,0,0.375,9.833333333,23.83333333,13.16666667,4,22.16666667,6.833333333,21.33333333,30.66666667,28.83333333,22.83333333,5.428571429,0,999,28.85714286,40.5,15.4,999,999,999,999,999
benevolent,7.571428571,6.4,0.142857143,0.2,9.166666667,999,999,31.42857143,15.375,5.666666667,2.166666667,4.166666667,10,0,6.333333333,0.166666667,0,0.5,0,11.14285714,15.6,999,5.714285714,0,4.8,999,999,999,999,999
repellent,0,12.6,8.857142857,32,2.5,999,999,4.571428571,14.5,3,36.83333333,23.33333333,0,22,9.333333333,18.66666667,13,11.5,27.16666667,16.71428571,2,999,16.57142857,34,3,999,999,999,999,999
likable,16.57142857,7,0.285714286,0,9.666666667,999,999,14.42857143,12.5,7.166666667,0,11.83333333,15.6,5,3.666666667,0.833333333,1.833333333,1.5,0,2.285714286,6.2,999,2.428571429,0,11.2,999,999,999,999,999
egoistic,4.285714286,4.8,20.42857143,4,22.16666667,999,999,0,8,11.16666667,3.166666667,26.5,7.2,31.66666667,0,14,15.16666667,15.5,35.66666667,10.71428571,1.2,999,10.14285714,32,2.2,999,999,999,999,999
altruistic,8.285714286,2.2,0,2.2,2,999,999,27.14285714,10.75,5.5,3.5,3,6.2,0,15.5,0.166666667,3.166666667,5.333333333,0,6.571428571,19.4,999,4,0,6.4,999,999,999,999,999
irrational,27,2.2,4.571428571,1,0,999,999,0.285714286,4,3.333333333,12.16666667,9.333333333,0,22.83333333,3.333333333,0.166666667,11.5,11.16666667,14,19,0,999,6.428571429,30.5,16,999,999,999,999,999
rational,0.571428571,8.8,11.57142857,3.8,30.83333333,999,999,17.57142857,10.25,13.16666667,5.166666667,15,26.4,5.5,5.5,22,10.16666667,7.5,13.66666667,4.857142857,14.2,999,8.428571429,0,2.4,999,999,999,999,999
